,CTS,PNID,NAME,VAL
0,2021-12-01 17:58:27 IST+0530,206958332,IGN_CYL,OFF
1,2021-12-01 17:58:27 IST+0530,206958332,IGN_CYL,OFF
2,2021-12-01 17:56:24 IST+0530,206958332,IGN_CYL,ON
3,2021-12-01 17:56:24 IST+0530,206958332,CHARGE_STATE,50.1
4,2021-12-01 17:56:24 IST+0530,206958332,IGN_CYL,ON
5,2021-12-01 17:56:24 IST+0530,206958332,CHARGE_STATE,50.1
6,2021-12-01 19:26:58 IST+0530,256832791,IGN_CYL,ON
7,2021-12-01 19:27:01 IST+0530,256832791,CHARGE_STATE,73.3
8,2021-12-01 19:57:32 IST+0530,256782425,EV_CHARGE_STATE,Active
9,2021-12-01 19:42:39 IST+0530,256782425,IGN_CYL,ON
10,2021-12-01 19:42:40 IST+0530,256782425,CHARGE_STATE,56.4
11,2021-12-01 19:56:01 IST+0530,256782425,IGN_CYL,OFF
12,2021-12-01 19:56:07 IST+0530,256782425,CHARGE_STATE,47.4
13,2021-12-01 19:56:08 IST+0530,256782425,IGN_CYL,ON
14,2021-12-01 19:56:12 IST+0530,256782425,CHARGE_STATE,47.4
15,2021-12-01 19:56:34 IST+0530,256782425,IGN_CYL,OFF
16,2021-12-06 22:43:33 IST+0530,256782425,EV_CHARGE_STATE,Aborted
17,2021-12-06 22:43:57 IST+0530,256782425,IGN_CYL,ON
18,2021-12-06 22:43:59 IST+0530,256782425,CHARGE_STATE,77.2
19,2021-12-06 23:26:36 IST+0530,255506821,IGN_CYL,ON
20,2021-12-06 23:26:38 IST+0530,255506821,CHARGE_STATE,72.5
21,2021-12-06 23:15:23 IST+0530,255506821,IGN_CYL,OFF
22,2021-12-06 23:15:29 IST+0530,255506821,CHARGE_STATE,73.3
23,2021-12-06 23:24:54 IST+0530,255506821,IGN_CYL,OFF
24,2021-12-06 23:25:00 IST+0530,255506821,CHARGE_STATE,72.5
25,2021-12-06 22:49:27 IST+0530,256782425,IGN_CYL,OFF
26,2021-12-06 22:49:30 IST+0530,256782425,CHARGE_STATE,76.8
27,2021-12-06 23:17:59 IST+0530,255506821,IGN_CYL,ON
28,2021-12-06 23:18:00 IST+0530,255506821,CHARGE_STATE,72.9
29,2021-12-07 00:27:28 IST+0530,255506821,IGN_CYL,ON
30,2021-12-07 00:27:31 IST+0530,255506821,CHARGE_STATE,67.0
31,2021-12-07 00:11:55 IST+0530,256782425,IGN_CYL,OFF
32,2021-12-07 00:11:57 IST+0530,256782425,CHARGE_STATE,75.2
33,2021-12-06 23:36:57 IST+0530,255506821,IGN_CYL,OFF
34,2021-12-06 23:37:05 IST+0530,255506821,CHARGE_STATE,70.9
35,2021-12-06 23:31:51 IST+0530,255506821,IGN_CYL,OFF
36,2021-12-06 23:31:58 IST+0530,255506821,CHARGE_STATE,71.3
37,2021-12-06 23:33:05 IST+0530,266214265,IGN_CYL,ON
38,2021-12-06 23:33:06 IST+0530,266214265,CHARGE_STATE,41.5
39,2021-12-06 23:35:41 IST+0530,266214265,IGN_CYL,OFF
40,2021-12-06 23:35:46 IST+0530,266214265,CHARGE_STATE,40.7
41,2021-12-06 23:36:15 IST+0530,255506821,IGN_CYL,ON
42,2021-12-06 23:36:18 IST+0530,255506821,CHARGE_STATE,70.9
43,2021-12-07 00:14:07 IST+0530,256782425,IGN_CYL,ON
44,2021-12-07 00:14:08 IST+0530,256782425,CHARGE_STATE,75.2
45,2021-12-07 00:28:14 IST+0530,256782425,IGN_CYL,OFF
46,2021-12-07 00:28:17 IST+0530,256782425,CHARGE_STATE,74.1
47,2021-12-07 00:02:29 IST+0530,256782425,IGN_CYL,ON
